DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,MonitoringLocationWaterbody,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-16,,,,,,Probe/Sensor,Specific conductance,,,90.03,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-16,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,4.4,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-16,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,44.13,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-16,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,51.27,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-16,,,,,,Probe/Sensor,pH,,,7.39,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-16,,,,,,Probe/Sensor,Salinity,,,0.05,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-16,,,,,,Probe/Sensor,"Temperature, water",,,15.47,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Specific conductance,,,197.77,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.69,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,80.4,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,56.73,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,pH,,,7.76,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,"Temperature, water",,,17.3,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Specific conductance,,,170.57,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.08,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,71.97,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,59.47,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,pH,,,7.55,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,Salinity,,,0.1,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-17,,,,,,Probe/Sensor,"Temperature, water",,,16,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Specific conductance,,,209.73,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.34,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,81.83,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,51.27,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,pH,,,7.81,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,"Temperature, water",,,20.6,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Specific conductance,,,212.17,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.18,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,80.13,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,46.97,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,pH,,,7.79,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Goose Island Channel,58.669596,-110.870285,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,"Temperature, water",,,20.6,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Specific conductance,,,45.6,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.43,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,95.77,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,40.6,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,pH,,,7.92,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Salinity,,,0.08,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,"Temperature, water",,,20.37,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Specific conductance,,,98.25,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,4.22,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,48.23,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,58.53,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,pH,,,7.3,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Salinity,,,0.06,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Keane Creek,58.4746929,-110.8225329,NAD27,River/Stream,Keane Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,"Temperature, water",,,19.37,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson Lake,58.38875556,-110.9959028,NAD27,Lake/Pond,Richardson Lake,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Specific conductance,,,147.73,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson Lake,58.38875556,-110.9959028,NAD27,Lake/Pond,Richardson Lake,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,5.91,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson Lake,58.38875556,-110.9959028,NAD27,Lake/Pond,Richardson Lake,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,64.5,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson Lake,58.38875556,-110.9959028,NAD27,Lake/Pond,Richardson Lake,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,54.33,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson Lake,58.38875556,-110.9959028,NAD27,Lake/Pond,Richardson Lake,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,pH,,,7.46,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson Lake,58.38875556,-110.9959028,NAD27,Lake/Pond,Richardson Lake,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,Salinity,,,0.08,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson Lake,58.38875556,-110.9959028,NAD27,Lake/Pond,Richardson Lake,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-22,,,,,,Probe/Sensor,"Temperature, water",,,19.3,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-24,,,,,,Probe/Sensor,Specific conductance,,,219.37,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-24,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.84,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-24,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,86.8,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-24,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,57.07,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-24,,,,,,Probe/Sensor,pH,,,7.85,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-24,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-24,,,,,,Probe/Sensor,"Temperature, water",,,20.5,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Specific conductance,,,105.77,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.2,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,85.33,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,29.73,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,pH,,,7.67,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Salinity,,,0.06,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Jackfish Creek,58.4185149,-110.918688,NAD27,River/Stream,Jackfish Creek,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,"Temperature, water",,,16.8,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Specific conductance,,,74.9,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.99,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,86.53,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,4.4,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,pH,,,7.64,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,Salinity,,,0.04,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Richardson River,58.42410075,-111.2429624,NAD27,River/Stream,Richardson River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-30,,,,,,Probe/Sensor,"Temperature, water",,,16.7,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,Specific conductance,,,210.5,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.82,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,81.77,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,-23.7,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,pH,,,7.91,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,Salinity,,,0.12,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Athabasca River,58.4335066,-110.9999184,NAD27,River/Stream,Athabasca River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,"Temperature, water",,,17.3,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,Specific conductance,,,222.47,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Athabasca Chipewyan First Nation - Community Based Monitoring Program,,Embarras River Mouth,58.6776524,-111.0468576,NAD27,River/Stream,Embarras River,Field Msr/Obs-Portable Data Logger,Surface water,2013-07-31,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.28,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
